instance_name,num_channels,total_programs,time_window_minutes,min_duration_ratio,max_consecutive_genre,switch_penalty,termination_penalty,avg_program_duration,std_program_duration,avg_popularity_score,num_unique_genres,program_density,avg_concurrent_choices,priority_block_coverage,bonus_density
YT_Gold_002_ch1422_d14_IN_hi_20260617,0.12411626080125687,0.17006141594114868,0.8235294117647058,0.061640402603218236,1.0,0.5909090909090909,0.45348837209302323,0.26749466447954423,0.32313832190058195,0.8309539073605962,0.9230769230769231,0.08870933660193513,0.013362135481100351,0.15448504983388706,0.011940946591402518
YT_Gold_003_ch892_d11_BG_bg_20261018,0.0778563323732216,0.10647904434095971,0.6470588235294118,0.12590818697108216,0.5,0.7045454545454546,0.4069767441860465,0.2619127351348306,0.31708299048630284,0.8315337582097811,0.6923076923076923,0.11034159817375984,0.010357948270532597,0.15644820295983083,0.03851892788063001
YT_Gold_004_ch721_d8_IT_it_20260407,0.06293095923889325,0.0837956401430789,0.47058823529411764,0.06347389807768192,0.5,0.6136363636363636,0.6395348837209303,0.2597678622565865,0.3130882742652375,0.823262437597361,0.8461538461538461,0.14650675210517497,0.010984776136350806,0.15988372093023254,0.03556231003039514
YT_Gold_005_ch709_d13_NL_nl_20260310,0.06188356463297547,0.08490247688465952,0.7647058823529411,0.062371805816706115,0.5,0.7272727272727273,0.26744186046511625,0.2643578872990638,0.31984716744682795,0.9933902834426581,0.23076923076923078,0.09453640739479087,0.006955168427519463,0.15026833631484793,0.03927986906710311
YT_Gold_006_ch672_d10_ES_es_20260222,0.05865409793139565,0.07878787878787878,0.5882352941176471,0.06266612942823278,0.25,0.5,0.6744186046511628,0.26311627929111225,0.3187511249221461,0.8181266525910547,0.5384615384615384,0.11976058345463367,0.008544592040520209,0.15813953488372093,0.04693009118541033
YT_Gold_007_ch1436_d8_US_en_20260730,0.12533822117482762,0.16935277046635622,0.47058823529411764,0.15352960296710783,0.5,0.45454545454545453,0.23255813953488372,0.25775061216718254,0.31529363134178146,0.8145466270302467,0.8461538461538461,0.14751073710736196,0.022186867159980046,0.15988372093023254,0.037158054711246204
YT_Gold_008_ch1103_d11_ID_id_20260803,0.09627302086060924,0.1297698589458055,0.6470588235294118,0.062307909517685854,0.75,0.4318181818181818,0.27906976744186046,0.2646289843515244,0.31747286322326385,0.8266644801507153,0.6923076923076923,0.10988011211498565,0.012908941118183005,0.15433403805496826,0.039568941696601266
YT_Gold_009_ch887_d11_BG_bg_20260427,0.0774199179540892,0.1044340959708443,0.6470588235294118,0.06238043111691333,0.25,0.5227272727272727,0.4069767441860465,0.26432133471199004,0.31901778151223825,0.7970021307583807,0.5384615384615384,0.10983336115645109,0.010292426193966232,0.15856236786469347,0.04172423321359491
YT_Gold_010_ch1427_d9_SE_sv_20260205,0.12455267522038928,0.16657218060336101,0.5294117647058824,0.1511589076432936,0.5,0.45454545454545453,0.45348837209302323,0.26179303467804743,0.31672728599843913,0.8118645621843923,0.7692307692307693,0.13181660590032507,0.019917619241564998,0.16020671834625322,0.03411009793988517
YT_Gold_011_ch1258_d8_DK_da_20261205,0.10980186785371389,0.14845785246676116,0.47058823529411764,0.0633928471711414,0.25,0.38636363636363635,0.5,0.2600999883822541,0.31734570358549374,0.8353620810209167,0.6923076923076923,0.14895288783517657,0.019651162796861788,0.15988372093023254,0.02492401215805471
